optimal distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80
49,1,15,10,9,0,13,7,5,12,8,11,14,4,2,3,6,1,1,3,0,3,3,1,2,0,0,3,1,2,2,1,3,0,0,2,2,1,1,3,0,3,0,3,1,2,0,0,3,1,2,2,2,1,3,3,0,2,2,0,3,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,6,8,7,5,13,11,12,1,2,9,3,14,4,10,15,0,2,2,1,3,3,0,2,2,2,1,3,3,3,0,2,2,0,3,0,3,1,1,2,2,2,0,3,3,0,3,1,1,2,0,3,1,2,1,2,0,2,0,3,0,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,14,2,1,11,4,7,13,0,5,3,12,9,15,10,8,2,2,1,3,1,2,0,0,2,1,1,3,0,0,0,3,1,1,2,0,2,0,3,3,1,3,1,1,2,0,2,0,2,1,3,0,3,3,1,1,2,0,0,3,0,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,13,12,15,1,7,9,5,4,8,11,0,14,6,10,2,3,3,3,3,1,2,0,0,2,1,1,3,0,3,0,0,2,2,2,1,3,1,3,0,0,2,2,1,1,1,3,0,3,0,3,0,2,2,1,1,3,0,3,0,2,1,2,2,1,1,3,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13,15,10,0,7,8,5,6,12,2,4,11,9,3,14,1,3,0,2,1,1,1,3,0,0,3,1,2,0,3,3,1,1,2,0,0,0,2,1,2,1,3,3,3,0,0,2,1,2,0,2,1,1,3,3,0,3,0,2,2,1,1,1,2,0,0,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
47,13,8,6,15,11,10,0,1,4,7,2,5,9,12,14,3,0,3,0,0,2,1,1,1,3,3,0,2,1,3,3,0,2,0,2,1,2,1,3,3,0,0,0,2,2,1,3,3,0,3,1,2,0,2,1,2,1,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,8,1,5,0,15,6,2,14,11,12,7,10,13,9,3,2,0,3,1,3,1,1,3,0,0,0,2,1,2,2,1,1,3,3,0,3,0,2,1,2,2,1,3,3,3,0,0,0,2,2,1,1,3,1,3,0,0,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,5,15,1,14,9,3,10,8,4,13,12,7,2,6,11,0,3,3,3,0,2,2,1,3,1,1,2,0,0,3,1,3,0,2,0,3,1,2,2,2,1,1,3,3,0,3,0,2,2,2,1,3,1,3,0,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,3,7,12,8,11,2,14,10,4,1,0,15,13,6,5,1,1,2,1,2,2,0,3,0,3,1,3,1,2,2,0,2,0,3,1,3,1,2,2,0,3,0,3,1,3,0,0,2,1,3,0,2,2,1,2,0,3,1,2,1,3,3,3,0,2,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
49,14,15,11,0,7,1,6,10,4,3,8,5,12,9,13,2,0,3,1,3,1,1,2,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,3,1,1,2,0,3,3,1,1,2,0,3,1,2,2,0,3,1,2,2,0,3,1,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,15,3,2,12,9,1,6,13,4,14,0,7,5,10,11,3,3,3,0,2,1,3,1,2,1,2,2,0,3,3,0,0,2,2,1,3,1,1,3,0,0,3,0,2,2,1,2,0,3,1,2,1,3,3,0,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15,10,7,8,0,5,12,13,9,2,4,14,3,6,11,1,3,1,3,1,1,3,0,0,0,2,1,3,1,2,0,2,1,1,3,0,2,2,1,3,3,3,0,2,0,2,0,3,1,3,0,2,2,1,2,1,1,3,0,3,0,2,2,1,3,3,0,2,0,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,
56,14,9,15,6,13,4,7,11,2,1,12,0,10,8,3,5,0,3,0,3,1,1,1,2,0,0,0,2,1,3,0,3,1,3,0,2,1,2,1,3,3,0,2,2,1,3,3,1,2,2,0,2,1,3,3,0,3,0,2,1,2,2,0,3,0,2,1,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
57,9,6,12,11,5,13,1,14,4,10,0,8,2,3,15,7,0,0,2,1,2,2,1,3,3,3,1,2,2,2,0,3,3,3,1,2,2,0,3,0,3,1,2,0,0,2,1,2,1,1,3,0,3,0,2,0,2,1,1,3,0,0,3,3,1,2,2,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
46,7,3,8,0,12,4,2,11,6,10,15,14,13,1,9,5,0,0,2,1,2,1,1,3,0,0,2,0,3,1,2,1,3,1,2,0,3,0,3,3,1,1,2,2,0,0,3,3,1,2,0,3,0,2,2,2,1,3,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,5,4,10,12,3,1,8,13,14,0,9,11,2,6,15,0,0,0,2,2,2,1,1,3,0,0,2,1,1,3,3,3,0,2,2,1,1,2,0,0,3,1,3,0,2,0,2,1,1,3,3,1,3,0,0,0,2,1,1,1,2,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10,4,3,14,7,6,8,11,15,9,12,5,13,1,0,2,1,1,2,1,2,0,0,3,0,3,1,3,1,1,2,2,0,0,3,3,0,2,1,1,3,1,2,2,0,0,0,3,1,2,2,1,3,3,3,0,2,2,2,0,3,1,2,1,3,0,3,1,2,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,
47,6,0,3,4,15,2,9,14,12,1,10,13,5,7,8,11,2,1,3,3,1,1,2,2,0,0,3,3,3,1,2,0,0,3,1,2,2,1,1,3,0,0,2,1,1,3,0,0,2,0,3,1,1,2,0,0,3,3,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7,6,11,15,12,1,13,2,0,8,9,10,3,14,5,4,3,3,0,0,0,2,1,3,1,3,0,0,2,1,1,1,3,0,2,2,2,0,0,3,1,3,3,1,2,1,2,0,3,0,2,1,2,0,0,3,1,1,3,1,2,0,2,1,3,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
55,7,11,1,15,13,2,8,5,9,12,0,14,3,6,4,10,0,0,3,1,2,1,3,0,3,3,0,2,0,2,1,1,3,0,0,3,1,2,0,2,1,1,2,0,0,3,1,3,1,3,1,2,2,2,0,0,3,1,1,2,0,0,3,1,1,2,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,2,9,6,4,3,5,15,1,8,7,10,12,13,0,14,3,0,3,1,2,2,0,2,0,0,3,3,1,1,1,3,0,2,2,0,2,1,3,0,3,1,2,1,2,0,0,3,0,2,1,3,1,1,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,12,8,3,2,14,0,9,13,6,7,15,4,11,10,1,5,0,0,2,2,1,3,1,1,3,0,3,0,0,2,2,1,1,1,2,0,3,3,1,3,0,0,0,2,2,2,1,1,3,1,3,0,0,2,2,1,3,1,3,3,0,0,2,0,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,12,11,13,0,6,7,1,15,10,5,9,4,3,14,8,1,1,1,2,2,0,3,0,2,0,3,1,3,1,1,3,0,0,2,1,3,0,0,2,2,1,1,3,1,2,2,0,3,0,3,3,0,2,1,1,1,2,2,0,0,3,0,3,1,1,3,0,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
46,1,9,12,6,3,13,10,2,15,0,7,5,14,4,8,11,1,2,0,3,1,2,2,1,1,3,3,0,0,3,1,1,2,0,2,0,2,0,3,1,3,3,0,2,2,1,1,1,3,3,0,0,0,2,1,2,1,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,4,11,12,7,14,6,9,15,8,2,1,10,13,5,0,1,2,2,0,3,1,1,3,0,3,1,1,2,0,3,1,2,2,2,0,0,0,3,1,1,1,2,0,0,3,1,3,0,2,1,2,0,3,0,3,1,3,0,2,1,1,3,0,2,1,1,2,0,0,3,0,2,2,1,3,3,1,3,1,,,,,,,,,,,,,,,,
54,3,1,5,14,7,15,4,6,12,11,9,13,10,0,8,2,0,2,1,3,3,3,0,2,1,1,3,0,2,1,1,3,0,2,2,0,0,3,1,1,2,2,0,3,3,1,1,2,2,0,0,0,3,1,1,3,1,2,2,0,3,3,0,3,1,1,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,1,13,8,10,0,3,4,12,14,11,6,7,2,15,9,0,0,2,2,1,2,1,3,1,2,0,0,3,1,1,3,0,3,0,2,2,1,2,0,0,3,1,3,0,2,1,1,3,0,2,2,1,3,3,3,1,2,0,3,0,2,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,6,5,8,9,2,14,4,13,11,10,15,1,3,7,12,0,3,1,2,0,0,3,1,2,2,1,2,0,0,3,1,1,3,3,0,2,0,0,3,1,2,0,2,1,1,3,1,2,0,2,1,3,0,2,0,0,3,1,3,0,2,2,1,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,14,10,6,4,9,2,0,1,15,7,11,8,13,12,3,2,2,0,3,3,1,3,1,2,1,3,0,2,0,2,1,2,1,3,3,3,0,2,0,0,3,1,1,2,2,2,1,3,0,0,2,1,3,0,0,2,1,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,12,11,9,5,10,0,6,14,8,1,7,3,2,15,13,4,0,2,2,1,2,1,3,1,3,0,2,0,2,0,3,1,2,1,1,3,3,0,2,0,3,3,1,1,2,0,2,0,2,1,3,0,3,1,3,0,2,1,2,0,3,0,2,1,2,1,3,3,0,0,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,
62,3,9,4,12,2,14,11,0,6,13,7,5,10,8,1,15,0,0,2,0,3,1,1,2,2,1,3,3,0,2,0,2,1,2,0,0,3,1,1,2,0,0,3,1,1,1,2,0,3,1,3,0,2,1,3,3,0,2,0,0,3,1,1,2,0,0,3,1,2,2,1,2,0,3,1,1,3,3,,,,,,,,,,,,,,,,,,
52,6,7,1,8,9,3,13,2,11,0,10,14,5,12,4,15,0,2,2,0,0,3,1,2,2,1,1,3,0,0,0,2,1,1,1,3,0,0,3,1,2,0,0,3,3,1,1,1,2,0,3,0,2,1,2,0,2,0,3,1,3,0,2,1,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,9,7,12,2,11,4,8,15,0,10,3,13,6,1,14,1,1,3,0,2,1,2,0,3,1,2,1,3,0,2,2,1,3,0,0,0,2,1,1,3,0,2,0,3,3,1,2,2,0,3,3,1,1,3,0,0,2,1,2,2,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,14,11,9,5,1,10,8,3,12,4,0,15,6,7,13,2,3,0,0,0,2,1,1,2,0,2,1,3,0,3,1,2,2,0,3,0,2,1,1,1,3,3,0,3,1,2,0,2,0,0,3,1,2,2,1,3,1,3,0,0,3,1,2,0,2,2,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,9,14,0,2,1,7,3,6,15,4,5,8,12,13,10,1,2,2,1,3,0,0,0,2,1,1,3,0,0,2,1,1,3,3,1,2,0,0,3,0,2,1,3,1,2,0,3,0,3,1,1,1,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7,11,9,14,12,2,6,10,5,0,8,15,13,3,1,4,2,2,0,0,0,3,1,3,1,3,0,2,1,3,1,2,2,2,0,0,3,0,2,1,3,1,3,3,1,2,2,2,0,3,0,3,1,1,2,2,0,0,3,3,0,2,1,3,3,0,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
53,9,12,10,8,3,11,1,5,0,15,13,2,6,7,4,14,3,1,2,0,2,2,1,1,3,3,0,0,2,2,0,3,3,1,2,2,0,3,1,1,2,0,3,1,1,2,0,3,1,3,0,0,3,0,2,1,2,0,3,1,3,1,2,0,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,8,6,15,11,2,1,3,7,14,9,5,4,13,10,0,12,3,1,2,0,0,0,3,1,3,1,1,2,0,0,3,3,1,2,0,0,3,1,1,1,2,0,0,0,3,1,1,2,2,0,2,0,3,3,3,1,2,2,1,2,0,0,3,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,9,6,3,12,15,8,0,1,10,7,11,14,2,13,5,1,1,2,0,3,3,0,0,2,1,2,1,1,3,0,0,3,3,1,1,2,0,2,0,3,3,0,2,2,2,1,3,1,3,3,0,2,1,2,2,0,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9,11,13,15,8,4,7,1,2,12,5,0,3,10,14,6,3,0,2,0,3,1,2,1,3,0,3,1,3,0,0,2,2,0,3,3,1,2,0,2,1,3,1,2,0,3,0,2,1,2,0,3,1,2,1,3,3,0,2,1,3,1,2,2,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,12,6,15,4,10,1,5,11,7,14,13,2,3,9,8,0,0,3,0,2,1,1,3,1,3,0,0,0,3,1,1,1,2,0,0,0,2,1,3,3,1,1,2,0,0,3,0,2,1,1,2,0,0,3,1,2,2,1,1,3,0,0,2,1,1,3,3,0,0,2,2,0,3,1,3,3,1,1,,,,,,,,,,,,,,,,,,
48,2,1,13,8,7,9,5,3,4,6,12,11,10,0,14,15,0,2,0,2,1,2,1,3,3,0,0,3,0,2,1,2,0,3,1,3,1,2,2,0,2,0,3,3,3,1,1,2,1,2,0,2,0,3,1,3,0,2,0,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9,11,15,5,7,4,13,10,14,8,3,6,1,0,2,12,3,3,3,0,2,0,3,1,1,1,2,2,0,3,0,2,1,2,0,3,0,3,1,3,1,1,2,0,2,2,1,3,0,0,3,1,3,1,2,2,0,2,0,0,3,1,2,0,3,3,3,1,2,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,
54,6,2,0,13,10,4,1,5,3,7,12,9,8,11,14,15,0,2,0,0,2,1,1,2,0,0,3,1,1,1,2,0,0,3,0,2,1,3,1,3,0,3,1,1,2,2,0,3,3,1,2,0,0,0,3,1,1,1,2,2,0,2,1,3,3,0,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7,5,12,6,13,9,2,0,3,10,4,14,1,8,11,15,2,2,0,2,0,3,0,3,3,1,2,1,2,2,0,0,3,3,1,1,1,2,0,3,3,0,2,2,1,2,0,0,3,1,1,1,2,0,0,0,3,3,3,1,2,2,1,1,3,0,2,1,2,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,
57,12,5,8,6,4,11,10,13,3,9,1,7,0,2,15,14,0,2,0,3,1,1,2,2,1,3,0,2,0,2,1,1,3,0,0,0,2,1,3,3,0,2,2,1,3,3,3,1,2,2,2,0,3,3,3,0,2,2,2,1,3,3,1,1,2,2,0,0,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
39,2,6,11,15,0,3,12,9,8,1,5,7,13,4,10,14,0,0,3,1,1,2,0,0,0,3,1,3,0,2,1,3,3,0,2,1,2,0,3,1,1,2,1,2,0,0,3,3,1,2,1,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,5,12,9,3,2,1,15,13,10,7,0,8,4,14,11,3,0,2,0,0,2,1,1,1,3,0,0,2,1,1,3,0,3,0,3,0,2,1,2,0,2,1,1,3,0,0,2,1,3,0,3,1,3,0,2,1,2,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,12,11,7,2,1,9,5,0,10,13,4,8,6,15,3,14,0,2,1,1,2,1,3,0,0,2,1,1,2,0,0,3,0,2,1,3,1,2,1,3,0,3,3,0,0,2,2,1,1,3,1,2,0,2,1,3,0,3,3,0,0,2,2,1,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4,15,8,10,5,6,2,3,12,7,11,13,9,14,1,3,0,3,3,1,1,2,2,2,0,3,1,3,0,3,0,2,0,2,1,1,3,0,0,2,1,2,1,3,3,0,3,0,2,2,1,2,1,1,3,0,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12,13,11,15,3,0,6,8,9,7,14,10,4,2,5,1,0,0,3,0,2,1,1,3,0,2,1,3,1,3,0,0,2,1,3,0,3,0,2,2,1,3,3,1,1,2,2,2,0,0,3,3,3,1,2,0,3,0,2,2,1,3,1,1,2,0,2,0,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
51,12,6,10,2,14,1,7,0,8,11,3,5,4,9,15,13,2,2,1,3,0,3,1,2,0,0,0,2,1,1,2,0,3,0,2,1,3,3,3,1,2,0,0,3,1,2,0,2,1,3,1,2,1,3,3,0,0,0,2,2,1,1,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,13,1,3,4,12,15,7,8,5,0,10,6,2,11,9,14,3,0,3,1,1,2,2,1,2,0,0,3,3,0,2,2,1,3,1,1,3,0,0,0,3,1,2,0,2,1,1,3,0,0,3,1,2,0,2,1,2,1,3,1,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,4,10,1,3,7,8,15,14,9,0,2,13,12,11,6,0,0,3,0,3,1,2,0,2,1,1,1,3,3,0,0,2,2,1,3,0,0,2,1,3,0,2,2,1,1,3,0,2,1,1,3,0,0,0,2,1,1,1,3,3,0,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,14,8,6,15,2,9,11,0,3,10,12,13,5,1,7,4,0,0,0,3,1,1,1,3,3,0,2,0,2,1,3,0,0,2,1,3,3,1,2,1,2,0,0,2,1,3,0,2,0,3,1,3,0,3,1,2,1,1,3,0,2,2,1,2,0,0,3,3,0,2,1,3,3,1,2,2,1,3,3,,,,,,,,,,,,,,,,,
59,14,8,3,0,10,7,6,12,1,13,4,15,2,5,9,11,0,2,0,0,2,1,1,3,1,2,0,0,3,1,1,2,0,3,3,0,2,0,3,1,3,0,2,1,3,1,2,1,2,0,0,3,1,2,0,2,1,3,0,0,2,1,3,3,0,2,1,3,3,1,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,
48,3,0,6,1,5,9,11,8,12,7,13,14,10,15,4,2,1,1,2,2,0,0,3,3,0,2,2,2,1,3,0,3,1,1,3,0,2,1,1,2,2,0,0,3,3,1,2,1,2,0,0,3,1,1,2,0,0,3,0,3,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,8,12,7,11,0,1,6,14,15,2,4,5,13,10,3,0,2,1,2,1,3,0,2,0,3,1,1,1,3,0,0,0,3,1,1,2,2,1,3,3,0,2,0,0,2,1,2,1,1,3,3,0,0,2,1,2,1,3,0,3,3,0,0,2,2,1,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
62,13,4,9,12,8,5,10,11,3,14,7,0,6,1,2,15,0,0,2,0,2,1,1,3,0,2,0,2,1,1,3,3,1,2,2,0,3,3,3,1,2,2,2,0,3,3,3,0,0,2,2,1,2,1,3,3,1,3,0,0,2,1,3,0,2,0,3,1,2,2,0,2,1,1,3,3,3,1,,,,,,,,,,,,,,,,,,
59,14,8,12,10,1,6,4,5,11,7,3,0,15,9,13,2,1,2,2,2,1,3,0,2,0,3,1,1,3,1,3,0,0,2,0,2,1,2,1,3,3,0,2,1,1,3,0,3,0,0,2,2,1,2,0,3,1,1,1,2,0,3,3,3,1,2,2,0,3,0,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,
53,9,10,14,0,7,12,13,3,8,1,4,5,15,11,6,2,2,1,1,2,0,0,3,1,1,2,2,1,3,3,3,0,0,2,1,1,3,0,0,2,2,1,3,0,2,2,1,3,1,3,0,0,2,0,2,1,3,0,3,3,1,1,2,0,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15,3,2,5,4,1,12,7,0,13,10,6,11,14,9,8,3,1,1,2,0,0,3,3,1,1,1,2,2,0,3,1,3,3,0,0,2,2,2,0,3,1,1,3,1,3,0,0,0,2,1,1,1,3,0,0,0,2,1,1,1,3,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,8,1,14,12,15,5,7,10,11,3,0,13,9,4,2,1,1,2,0,3,3,1,2,0,2,1,3,0,3,0,3,1,1,2,0,3,0,2,0,2,1,1,3,0,3,1,2,0,3,0,2,2,1,2,0,3,1,2,1,3,0,3,0,2,1,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,12,8,10,4,14,15,2,9,1,5,3,7,11,0,13,6,1,3,0,0,2,2,1,3,3,3,0,2,2,1,3,1,1,2,0,2,1,3,0,2,0,3,0,2,1,3,1,3,3,0,0,2,2,1,3,1,1,3,0,0,2,1,1,2,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,7,9,2,15,3,10,14,8,0,13,12,4,6,5,11,1,3,3,3,0,2,2,0,0,3,3,1,1,2,1,2,2,0,0,0,3,3,3,1,2,1,1,2,0,0,3,1,1,2,0,2,0,3,0,3,1,1,2,2,1,3,0,0,0,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,13,14,7,8,0,11,12,5,15,2,9,1,3,10,4,0,2,1,3,3,1,1,2,2,0,2,0,0,3,1,3,1,2,2,0,3,3,3,1,1,2,0,0,3,0,2,1,3,1,1,2,0,2,2,0,3,3,3,1,2,1,2,2,0,0,3,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
54,3,6,10,7,0,5,9,1,11,2,8,4,14,15,12,13,1,1,2,2,0,2,0,0,3,1,3,0,3,1,1,2,0,0,3,1,1,2,1,3,0,0,2,1,1,2,0,2,0,3,3,1,3,0,0,2,1,1,1,2,2,0,0,3,0,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3,8,0,5,13,14,2,10,15,9,11,6,1,4,7,12,1,2,0,2,1,1,3,1,3,0,3,1,2,0,0,0,3,1,1,2,0,2,0,2,1,3,0,3,3,1,2,2,0,3,1,1,2,2,1,3,0,2,0,3,1,1,2,0,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,3,11,2,5,4,15,13,10,9,1,8,12,6,0,14,3,0,0,2,1,1,3,3,0,2,1,1,2,2,0,0,3,3,0,2,1,1,1,2,0,0,0,3,1,2,1,3,0,3,1,1,2,0,0,0,3,1,1,3,0,2,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,12,1,13,14,4,2,8,15,6,11,9,5,3,0,7,10,0,0,3,3,0,2,2,2,1,1,3,1,2,0,0,3,3,0,2,1,1,2,0,0,3,1,3,3,0,2,2,1,1,3,0,2,1,3,1,2,0,2,1,3,0,3,3,0,2,2,1,3,3,1,2,2,0,3,3,1,,,,,,,,,,,,,,,,,,,,
55,1,7,13,6,11,10,3,5,14,2,4,12,9,0,15,8,2,2,0,3,3,1,1,2,0,2,2,0,3,3,0,2,1,1,1,3,0,0,0,3,1,1,1,2,0,0,0,3,1,1,1,2,0,0,2,1,2,1,3,0,2,0,0,3,3,3,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
53,10,1,12,5,4,8,9,3,11,15,0,14,6,13,2,7,0,3,1,2,0,2,1,3,1,2,0,2,1,1,3,0,0,3,0,2,1,2,0,3,1,3,0,2,1,2,1,3,3,3,0,0,2,1,2,1,3,1,3,0,2,0,2,2,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,12,5,3,9,4,6,2,13,15,10,1,11,0,14,7,3,0,2,1,1,1,2,0,3,1,3,0,0,2,2,2,0,3,3,1,2,2,0,3,3,1,2,2,1,3,3,3,0,0,2,1,2,2,1,3,1,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10,15,13,2,9,8,6,0,12,4,3,7,11,1,5,14,3,3,3,0,2,2,1,2,0,3,1,2,1,3,1,2,0,3,3,0,2,2,1,1,3,0,3,3,0,2,2,1,3,3,0,2,0,2,2,1,3,1,2,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,2,1,15,6,0,4,12,8,14,9,3,10,13,7,11,0,0,3,1,1,3,0,3,0,2,2,1,2,1,3,3,0,3,0,0,2,1,2,0,2,1,1,3,1,3,3,0,0,2,1,2,0,0,3,3,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,13,2,15,8,1,10,11,9,5,6,14,12,0,3,7,0,0,3,3,1,3,0,2,2,1,3,3,1,2,2,0,3,0,2,1,2,0,3,1,3,3,0,2,2,1,3,3,0,2,0,2,2,1,1,1,3,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,14,7,2,15,12,3,9,5,0,4,10,8,6,13,11,1,1,1,2,0,0,3,3,3,0,2,2,1,3,0,3,1,2,1,2,2,0,0,3,3,1,1,2,1,2,0,3,0,0,3,3,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,3,8,15,6,1,14,11,7,13,2,0,10,9,4,12,3,0,2,0,3,1,3,1,2,0,3,0,0,2,1,1,1,2,0,0,3,3,0,2,2,1,1,3,0,3,3,1,1,2,2,0,0,3,3,0,2,1,3,1,2,0,2,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,0,5,10,14,13,12,8,11,3,2,15,7,4,1,9,0,0,0,2,1,1,1,3,0,0,3,0,2,2,1,1,1,3,0,3,0,0,2,2,2,1,1,3,3,3,1,2,2,2,0,3,1,3,0,3,0,0,2,1,2,0,3,1,1,2,0,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
52,15,3,13,5,6,8,11,0,9,12,10,2,4,1,14,7,3,3,1,2,1,1,3,0,0,2,1,3,0,3,0,2,2,1,1,2,0,0,3,1,3,3,1,2,2,2,1,3,0,2,0,3,3,1,1,3,0,0,2,0,2,1,1,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,14,9,8,2,5,7,12,6,15,13,11,3,1,10,0,4,1,2,1,1,3,0,0,3,1,1,2,0,0,0,3,1,1,2,0,2,0,2,1,1,1,3,0,0,0,3,3,1,2,2,2,0,3,3,3,1,2,1,3,0,2,2,2,0,3,3,1,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
49,13,14,8,9,1,5,2,3,11,15,7,6,4,0,12,10,0,2,1,1,2,1,3,3,0,0,3,1,2,2,2,0,0,3,1,2,0,3,3,1,2,2,0,3,3,3,1,2,1,2,2,0,0,3,3,1,1,2,1,3,3,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
